project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
112009761019	2317497	3	Bagata	-3.73333	17.95	ADM3	CD|01	Democratic Republic of the Congo|Bandundu
112009761019	1389	3	Rūdbār Sarā	36.18333	52.86667	PPL	IR|35	Iran|Māzandarān
112009761019	1260	4.2	Nez̧āmābād	37.0437	45.9491	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
112009761019	203312	5	Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
112009761019	1307	4.1	Kūh-e Esţelaḩ	36.02043	53.15208	MT	IR|35	Iran|Māzandarān
112009761019	1414	3	Vayeh	36.30864	53.77938	FRM	IR|35	Iran|Māzandarān
112009761019	2313010	3	Masi-Manimba	-4.76667	17.91667	ADM3	CD|01	Democratic Republic of the Congo|Bandundu
1120098715810	1260	4.2	Nez̧āmābād	37.0437	45.9491	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
1120098715810	2316150	1	Bwalenge	-5.10098	19.34526	PPL	CD|01	Democratic Republic of the Congo|Bandundu
1120098715810	1388	4.1	Amīr Kolā	36.18333	52.78333	PPL	IR|35	Iran|Māzandarān
1120098715810	2315452	1	Impini	-4.87269	19.6595	PPL	CD|01	Democratic Republic of the Congo|Bandundu
1120098715810	2315429	1	Ingundu	-5.05206	19.59889	PPL	CD|01	Democratic Republic of the Congo|Bandundu
1120098715810	2315203	1	Kalanganda	-4.60418	19.46106	PPL	CD|01	Democratic Republic of the Congo|Bandundu
1120098715810	1307	4.1	Kūh-e Esţelaḩ	36.02043	53.15208	MT	IR|35	Iran|Māzandarān
1120098715810	2311927	1	Nkutu	-4.80308	19.69476	PPL	CD|01	Democratic Republic of the Congo|Bandundu
1120098715810	2311650	1	Punkulu Première	-4.87931	19.62709	PPL	CD|01	Democratic Republic of the Congo|Bandundu
1120098741619	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azerbaijan
1120098741619	1584	3	Emāmzādeh Khalīfeh	36.76067	53.08265	PPL	IR|35	Iran|Māzandarān
1120098741619	9166123	4.1	Tshangu District	-4.42035	15.38549	ADM2	CD|06	Democratic Republic of the Congo|Kinshasa
1120098741621	2317396	4.2	Bandundu Province	-4	18	ADM1	CD|01	Democratic Republic of the Congo|Bandundu
1120098741621	203312	5	DR Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
1120098741621	2314934	3	Kenge	-4.86667	16.98333	ADM3	CD|01	Democratic Republic of the Congo|Bandundu
1120098741621	2313860	4.1	Kwango District	-6.542	17.832	ADM2	CD|01	Democratic Republic of the Congo|Bandundu
1120098741624	209477	1	Masisi	-1.39832	28.8183	PPL	CD|11	Democratic Republic of the Congo|Nord Kivu
1120098741624	1460	4.1	Ḩājjīābād	36.28333	52.86667	PPL	IR|35	Iran|Māzandarān
1120098741624	1251	4.2	Jahāngīr	37.4063	46.2763	PPL	IR|33	Iran|East Azerbaijan
1120098741624	204337	1	Walikale	-1.43049	28.07519	PPL	CD|11	Democratic Republic of the Congo|Nord Kivu
1120098741624	1461	4.1	Kūh-e Barf Pājūn	36.30587	52.92326	MT	IR|35	Iran|Māzandarān
1120098742817	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azerbaijan
1120098742817	9072642	1	Lemba-Imbu	-4.39611	15.31889	PPLX	CD|06	Democratic Republic of the Congo|Kinshasa
1120098742817	1576	4.1	Gālesh Marz	36.75	53.36667	PPL	IR|35	Iran|Māzandarān
11200912518652	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azerbaijan
11200912518652	1585	3	Jīreh Sar	36.75	53.05	PPL	IR|35	Iran|Māzandarān
11200912518652	9166126	3	N'Sele	-4.42035	15.49472	ADM3	CD|06	Democratic Republic of the Congo|Kinshasa
11200912518652	2255216	1	Pool Malebo	-4.28194	15.48861	POOL	CG|11	Republic of the Congo|Pool
11200912518652	9166123	4.1	Tshangu District	-4.42035	15.38549	ADM2	CD|06	Democratic Republic of the Congo|Kinshasa
11200912518659	9166129	1	Boulevard Triomphal	-4.33539	15.3016	RD	CD|06	Democratic Republic of the Congo|Kinshasa
11200912518659	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azarbaijan
11200912518659	9072689	4.1	Lingwala	-4.3208	15.29836	ADM3	CD|06	Democratic Republic of the Congo|Kinshasa
11200912518659	9166122	4.1	Lukunga District	-4.3054	15.3032	ADM2	CD|06	Democratic Republic of the Congo|Kinshasa
RDC0708612	203312	5	Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
RDC1015311	203312	6	DR Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
RDC1115911	217831	1	Bukavu	-2.49077	28.84281	PPLA	CD|12	Democratic Republic of the Congo|South Kivu
RDC1115911	9179892	1	Palais de Justice	-2.48704	28.85595	ADMF	CD|07	Democratic Republic of the Congo|Lac Prefecture
RDC1115911	8260566	4.2	South Kivu	-3.22552	28.59604	ADM2	CD|12	Democratic Republic of the Congo|South Kivu
RDC0710911	203312	8	DR Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
RDC1318111	206938	4.2	Nord Kivu	-0.66667	28.75	ADM1	CD|11	Democratic Republic of the Congo|Nord Kivu
